Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
10:19,7;1162,056;-86,19999695;2071387;231;38;Serving beam;n257;26500;231_38;231038;66;-86,19999695
10:20,2;1519,976;-86,09999847;2071387;231;38;Detected beam;n257;26500;231_38;231038;66;-86,09999847
10:20,7;1451,591;-84,40000153;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-84,40000153
10:21,2;1284,18;-84,30000305;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-84,30000305
10:21,7;1644,24;-83,80000305;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-83,80000305
10:22,2;1253,28;-84,19999695;2071387;231;39;Detected beam;n257;26500;231_39;231039;66;-84,19999695
10:22,7;1053,6;-83,30000305;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-83,30000305
10:23,2;1168,008;-81,19999695;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-81,19999695
10:23,7;2054,064;-80,90000153;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-80,90000153
10:24,2;2135,886;-77,09999847;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-77,09999847
10:24,7;2110,536;-75,80000305;2071387;231;39;Serving beam;n257;26500;231_39;231039;66;-75,80000305
10:25,2;2138,544;-75,30000305;2071387;231;39;Detected beam;n257;26500;231_39;231039;66;-75,30000305
10:25,7;2133,319;-75;2071387;231;44;Serving beam;n257;26500;231_44;231044;66;-75
10:26,2;2135,09;-76,40000153;2071387;231;44;Serving beam;n257;26500;231_44;231044;66;-76,40000153
10:26,7;2130,005;-75,40000153;2071387;231;44;Serving beam;n257;26500;231_44;231044;65;-75,40000153
10:27,2;2136,96;-75,30000305;2071387;231;44;Serving beam;n257;26500;231_44;231044;65;-75,30000305
10:27,7;1813,704;-76,90000153;2071387;231;44;Serving beam;n257;26500;231_44;231044;65;-76,90000153
10:28,2;1776,48;-81,40000153;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-81,40000153
10:28,7;1924,204;-81;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-81
10:29,2;1998,123;-78,80000305;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-78,80000305
10:29,7;1971,864;-78,69999695;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-78,69999695
10:30,2;1846,032;-78,09999847;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-78,09999847
10:30,7;2039,881;-79,40000153;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-79,40000153
10:31,2;1761,048;-79,80000305;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-79,80000305
10:31,7;1964,832;-82,19999695;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-82,19999695
10:32,2;2055,24;-80,59999847;2071387;231;61;Serving beam;n257;26500;231_61;231061;65;-80,59999847
10:32,7;1975,608;-78,59999847;2071387;231;61;Serving beam;n257;26500;231_61;231061;65;-78,59999847
10:33,2;2043,48;-79;2071387;231;45;Detected beam;n257;26500;231_45;231045;65;-79
10:33,7;1859,592;-78,69999695;2071387;231;61;Serving beam;n257;26500;231_61;231061;65;-78,69999695
10:34,2;2027,786;-79,19999695;2071387;231;61;Serving beam;n257;26500;231_61;231061;65;-79,19999695
10:34,7;2087,592;-80,19999695;2071387;231;61;Detected beam;n257;26500;231_61;231061;65;-80,19999695
10:35,2;2136,96;-79,30000305;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-79,30000305
10:35,7;2133,24;-77,69999695;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-77,69999695
10:36,2;2135,092;-76,69999695;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-76,69999695
10:36,7;2132,4;-76,19999695;2071387;231;45;Serving beam;n257;26500;231_45;231045;65;-76,19999695
10:37,2;2103,84;-76,30000305;2071387;231;45;Detected beam;n257;26500;231_45;231045;65;-76,30000305
10:37,7;2109,192;-76,90000153;2071387;231;62;Detected beam;n257;26500;231_62;231062;65;-76,90000153
10:38,2;1916,16;-77,09999847;2071387;231;62;Detected beam;n257;26500;231_62;231062;65;-77,09999847
10:38,7;1987,68;-77,09999847;2071387;231;61;Detected beam;n257;26500;231_61;231061;65;-77,09999847
10:39,2;2003,57;-76,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;65;-76,59999847
10:39,7;2126,262;-76,09999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;66;-76,09999847
10:40,2;2112,912;-75,69999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;66;-75,69999695
10:40,7;2119,848;-76,30000305;2071387;231;62;Detected beam;n257;26500;231_62;231062;66;-76,30000305
10:41,2;2127,84;-76,69999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;66;-76,69999695
10:41,7;2132,426;-76,69999695;2071387;231;62;Detected beam;n257;26500;231_62;231062;66;-76,69999695
10:42,2;2135,88;-76,59999847;2071387;231;62;Detected beam;n257;26500;231_62;231062;66;-76,59999847
