Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
40:07,3;868,68;-92,80000305;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-92,80000305
40:07,8;750,648;-92,69999695;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-92,69999695
40:08,3;1034,64;-91,5;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-91,5
40:08,8;1080,336;-90,90000153;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-90,90000153
40:09,3;1017,288;-89,80000305;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-89,80000305
40:09,8;1202,664;-91,30000305;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-91,30000305
40:10,3;1705,176;-89,80000305;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-89,80000305
40:10,8;1080,072;-86,30000305;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-86,30000305
40:11,3;780,408;-87,59999847;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-87,59999847
40:11,8;510,744;-89,69999695;2263195;624;7;Detected beam;n260;37000;624_7;624007;73;-89,69999695
40:12,3;724,128;-89,59999847;2263195;624;7;Detected beam;n260;37000;624_7;624007;73;-89,59999847
40:12,8;815,16;-89,59999847;2263195;624;7;Detected beam;n260;37000;624_7;624007;73;-89,59999847
40:13,3;969,6;-89,5;2263195;624;7;Detected beam;n260;37000;624_7;624007;73;-89,5
40:13,8;649,728;-91;2263195;624;7;Detected beam;n260;37000;624_7;624007;73;-91
40:14,3;508,584;-94,40000153;2258011;621;15;Serving beam;n260;37000;621_15;621015;73;-94,40000153
40:14,8;765,264;-96,09999847;2259739;622;15;Detected beam;n260;37000;622_15;622015;73;-96,09999847
40:15,3;1165,704;-96,09999847;2259739;622;15;Detected beam;n260;37000;622_15;622015;73;-96,09999847
40:15,8;788,952;-96;2259739;622;15;Detected beam;n260;37000;622_15;622015;73;-96
40:16,3;663,84;-93,69999695;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-93,69999695
40:16,8;753,096;-95,30000305;2258011;621;15;Detected beam;n260;37000;621_15;621015;73;-95,30000305
40:17,3;678,411;-95,69999695;2258011;621;7;Serving beam;n260;37000;621_7;621007;73;-95,69999695
40:17,8;590,976;-96,90000153;2258011;621;15;Serving beam;n260;37000;621_15;621015;73;-96,90000153
40:18,3;843,504;-96,5;2258011;621;15;Detected beam;n260;37000;621_15;621015;73;-96,5
40:18,8;1127,256;-94,40000153;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-94,40000153
40:19,3;1194;-89,09999847;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-89,09999847
40:19,8;1624,608;-87,09999847;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-87,09999847
40:20,3;1756,296;-86,09999847;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-86,09999847
40:20,8;1429,896;-84,90000153;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-84,90000153
40:21,3;1835,64;-84,19999695;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-84,19999695
40:21,8;1792,8;-84,09999847;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-84,09999847
40:22,3;757,896;-83;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-83
40:22,8;707,208;-83,80000305;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-83,80000305
40:23,3;603,984;-88,30000305;2263195;624;5;Detected beam;n260;37000;624_5;624005;74;-88,30000305
40:23,8;681,864;-88,30000305;2263195;624;5;Detected beam;n260;37000;624_5;624005;74;-88,30000305
40:24,3;694,08;-88,30000305;2263195;624;5;Detected beam;n260;37000;624_5;624005;74;-88,30000305
